id,name,phone,address,city,status,website_status
1,Ristorante Cantinone,0919231068,"Piazza Cioccaro 8, 6900 Lugano, Switzerland",Lugano,0,None
2,Ristorante Antico,0919714871,"Piazza Lucchini 5, 6978 Lugano, Switzerland",Lugano,0,None
3,AL 74 Bar Ristorante Pizzeria,0919714346,"Via Trevano 74, 6900 Lugano, Switzerland",Lugano,0,None
4,Ristorante Pescheria Belvga,0782296818,"Via G.B. Pioda 4, 6900 Lugano, Switzerland",Lugano,0,None
5,Porto Bello! Ristorantino alla Foce di Lugano!,0919728888,"Circolo Velico Lugano, Via Foce 11, 6900 Lugano, Switzerland",Lugano,0,None
6,Bottegone,0919227689,"Via Massimiliano Magatti 3, 6900 Lugano, Switzerland",Lugano,0,None
7,La Tinèra,0919235219,"Via dei Gorini 2, 6900 Lugano, Switzerland",Lugano,0,None
8,Ristorante Pizzeria Moretto,0919663445,"Via Moretto 3D, 6944 Cureglia, Switzerland",Lugano,0,None
9,Ristorante Schnitzy,0919210101,"Via S. Gottardo 64, 6900 Massagno, Switzerland",Lugano,0,None
10,Ristorante Birreria City,0919226480,"Via Emilio Bossi 4, 6900 Lugano, Switzerland",Lugano,0,None
11,Ristorante Odeon,0919231621,"Via Pietro Peri 14, 6900 Lugano, Switzerland",Lugano,0,None
12,Beirut,0919804677,"Via Generale Guisan 14, 6900 Paradiso, Switzerland",Lugano,0,None
13,Bar Ristorante al Passaparola,0919662819,"Via S. Gottardo 139, 6942 Savosa, Switzerland",Lugano,0,None
14,Ristorante Birreria al Forte,0793230335,"Via al Forte 1, 6900 Lugano, Switzerland",Lugano,0,None
15,Ristorante La Pergola,0919660969,"Via Cantonale 13, 6814 Cadempino, Switzerland",Lugano,0,None
16,Ristorante-Bar Rosi,0919418614,"Via Preluna 22, 6949 Comano, Switzerland",Lugano,0,None
